codigo_cliente,sexo_cliente,intervalo_medio
1483,F,97
4503,F,58
16320,M,86
19917,F,57
1046,F,171
3846,M,69
7768,M,86
341,F,47
3361,F,81
13217,M,188
23913,F,24
7480,F,45
9441,F,15
743,M,55
4822,M,29
6846,F,79
3121,F,41
6232,M,129
6338,F,6
2507,M,38
3566,M,43
4625,M,77
4999,F,62
11039,F,189
2113,M,67
12295,F,18
15315,F,12
1471,F,76
2424,M,10
1562,M,90
2727,F,77
6649,F,42
7551,F,36
1946,F,124
7829,F,235
10849,F,111
2538,M,40
3399,F,46
7164,F,240
5400,F,89
12499,F,20
1987,M,36
3046,M,38
4021,F,112
5080,F,123
9904,F,82
1282,M,43
2257,F,23
6022,F,13
10101,F,84
9396,F,78
2651,F,37
4612,F,148
25164,F,15
5037,F,21
16058,F,50
2371,F,104
3273,F,299
8254,F,257
1509,F,79
1706,F,146
6687,F,103
12727,F,1
1156,M,191
4249,F,68
2412,M,28
3584,F,45
6447,F,81
22175,F,27
8762,F,176
10723,F,7
431,F,73
25062,F,46
10747,F,67
2943,F,0
5061,F,46
5806,F,30
14,M,22
1179,F,12
545,F,163
5306,M,96
742,F,20
2860,F,14
8743,F,59
14783,F,91
990,M,68
4010,M,194
6873,M,59
7932,M,138
11058,F,14
2352,F,229
3254,F,68
9188,M,89
14275,F,53
659,F,94
1718,F,58
5640,F,73
6479,M,130
4935,F,28
1210,F,84
3065,M,85
8349,F,14
2671,M,77
2734,F,46
68,F,186
6853,F,74
7912,F,273
462,F,38
2423,F,52
5286,F,84
6345,F,37
667,M,150
4662,F,84
8584,F,118
1839,F,116
75,F,64
23647,F,16
7214,F,2
3717,F,102
9954,F,31
21446,F,28
1289,M,100
4268,F,99
7131,F,82
11053,F,40
3604,M,244
14427,F,224
1954,M,4
2856,M,98
3915,M,35
12734,F,106
5171,M,138
7950,F,306
1205,F,20
1403,M,164
7245,F,9
2461,F,21
7442,F,93
7640,M,58
925,F,240
63,F,231
1319,F,135
4537,M,166
6300,F,160
614,F,94
18146,F,44
15227,F,55
2379,M,45
1737,F,25
2796,F,234
3592,M,108
3698,F,55
4651,M,43
7620,F,37
2887,M,289
2139,M,174
3418,F,49
3615,F,54
1745,M,21
6675,F,314
8793,F,87
989,F,106
5970,F,60
6872,F,54
10845,M,55
1414,F,47
10317,F,57
11376,F,37
489,M,29
4568,M,30
5533,F,77
7651,F,49
12632,F,218
44,F,126
2367,M,52
6509,F,80
8250,M,174
23139,F,71
1505,M,140
5427,M,268
9506,M,18
22277,F,186
2981,F,58
5738,M,10
5844,F,53
22474,F,5
1338,F,51
4358,F,156
633,F,99
10595,F,89
10990,M,163
18362,F,9
20520,F,155
477,M,98
5374,F,64
12557,M,328
831,M,95
6630,F,169
18122,F,23
2003,F,79
11808,F,56
82,F,70
1141,F,85
1339,M,45
2200,F,15
6122,F,167
10044,F,93
507,F,64
1566,F,247
5769,M,21
6828,M,15
10750,M,92
3019,F,43
4980,F,23
21610,F,44
7138,F,97
20748,F,63
1764,M,124
10583,F,7
17178,M,14
21173,F,130
1961,M,41
3922,M,29
113,F,40
1172,F,104
11134,F,10
18547,F,21
508,M,24
4389,F,104
4587,M,199
2780,M,74
7981,F,25
8883,F,255
177,F,125
2075,M,56
3134,M,8
3197,F,41
374,F,77
1327,M,72
17004,F,117
17906,F,135
2689,F,112
3642,M,23
6611,F,167
5757,M,68
71,M,77
1350,F,46
9131,M,235
15391,F,271
1547,F,41
2500,M,51
2606,F,93
2697,M,226
1949,M,29
2169,F,58
3008,M,85
6091,F,76
11072,F,8
13190,F,52
14249,F,72
1244,M,6
2303,M,51
1661,F,249
5583,F,301
10564,F,137
1752,M,74
2811,M,39
12879,F,135
2283,F,28
7264,F,123
13304,F,48
2480,F,97
3319,M,24
15462,F,115
6599,F,72
8717,F,26
10678,F,63
11,F,99
2925,M,106
961,M,48
1034,F,166
1936,F,75
172,F,25
4251,F,153
5467,F,56
369,F,33
3587,M,102
6566,F,106
2684,F,69
89,F,139
11351,M,105
4365,F,122
8601,F,88
12523,F,110
3503,F,71
19074,F,112
680,F,178
2798,F,122
1105,F,40
1386,M,67
11578,F,66
12637,F,12
1656,F,43
2558,F,36
5933,M,91
24169,F,32
3814,F,26
4873,F,41
1219,F,140
4239,F,287
10436,F,73
13613,F,82
2559,M,246
4520,M,16
8869,F,166
10987,F,162
2165,M,71
578,F,27
2476,M,14
555,M,3
1614,M,20
4634,M,115
2122,M,60
4240,M,193
2590,M,77
669,M,193
14185,F,119
184,F,11
3204,F,104
1334,M,112
806,F,34
11082,F,99
3803,M,15
5082,F,107
5239,F,47
8259,F,33
3212,M,36
5436,F,132
1397,F,49
2456,F,70
1759,M,64
3720,M,2
20413,F,61
5353,F,8
2373,F,32
4334,F,139
4425,M,19
7011,M,44
2070,M,45
3947,F,76
1322,M,43
11400,F,20
8577,F,226
9636,F,108
2889,M,213
4850,M,72
5982,F,226
7041,F,254
10061,F,151
2100,F,94
3002,F,54
6179,F,241
336,F,46
7435,F,92
16652,F,2
2692,M,63
6928,M,37
15240,M,25
2141,M,95
3116,F,65
11515,M,148
293,F,39
2411,F,34
7549,F,105
10569,F,46
3033,F,33
4092,F,85
7269,F,53
1269,F,116
2255,M,24
13506,F,197
22723,F,1
605,M,48
3781,F,226
4683,F,36
10880,F,36
1333,F,68
628,F,42
7727,F,61
21862,M,5
2680,M,54
1022,F,172
11298,F,46
23535,F,50
168,M,130
3345,M,40
2703,F,26
1841,F,109
2794,M,55
6077,F,52
8195,F,266
12117,F,40
1136,F,144
5372,F,19
6168,M,56
8392,F,315
502,F,170
699,F,138
2597,M,116
3719,F,8
4073,F,182
4975,F,19
6085,M,180
22507,F,2
24468,F,12
1250,F,13
2152,F,76
6388,F,36
1455,M,50
4695,F,15
1652,M,63
2931,F,43
6947,M,62
1010,F,266
1963,M,122
2069,F,61
10384,F,12
199,M,55
2266,F,19
3325,F,80
5443,F,148
23877,F,37
426,F,76
510,M,55
5721,F,10
8825,M,25
1766,M,45
4702,F,63
4786,M,104
977,F,282
3997,F,100
1174,F,115
1372,M,31
4194,F,43
7569,M,114
3644,M,116
6737,F,117
2939,M,221
4816,F,232
9052,F,56
32,F,3
1091,F,83
2191,M,123
3052,F,91
14387,F,168
229,F,65
6426,F,66
3871,F,40
8107,F,57
23364,F,29
146,F,209
541,M,37
3561,M,128
11719,M,103
3985,F,5
4069,M,24
6260,F,106
6457,F,51
457,F,51
1029,F,317
1383,F,50
7580,F,119
521,F,37
2533,M,25
8836,F,84
9738,F,147
10691,M,102
1777,F,115
4797,F,165
21,M,58
2202,F,261
5356,M,13
6635,F,24
2596,F,263
4714,F,192
6726,M,194
14990,F,76
4911,F,284
7454,F,29
18766,M,11
1808,F,139
4828,F,12
946,F,111
3966,F,41
11222,F,26
20439,F,46
1371,F,33
5387,M,88
6446,M,125
2407,M,36
2627,F,54
4525,M,48
863,F,187
3883,F,139
6001,F,70
6954,M,34
15309,M,65
3299,F,91
5417,F,48
7378,F,72
2437,F,52
6673,F,182
9693,F,5
14674,F,90
1732,F,107
19107,F,28
1379,M,71
3413,F,31
5531,F,0
1492,F,35
3694,M,175
984,F,60
2945,F,23
7181,F,63
18516,F,87
4513,M,11
5645,F,91
1606,F,45
6901,F,18
6985,M,61
8862,F,121
942,M,53
1803,F,118
3060,M,48
7098,F,61
3257,M,73
5375,M,148
6236,F,234
1607,M,259
2863,M,172
3681,F,119
5956,F,192
1056,M,0
1917,F,137
2976,F,67
5135,M,9
9173,F,126
2271,F,64
3173,F,91
4430,M,32
3902,F,88
5800,M,49
6020,F,28
7079,F,32
1079,F,24
2138,F,194
6217,F,28
1473,F,5
7827,F,0
13761,M,180
13867,F,104
4016,F,41
1390,F,118
8540,M,29
9705,F,6
1587,F,81
6882,F,33
12816,M,20
21080,F,43
890,M,19
4812,M,61
11229,F,209
1087,M,68
2146,M,112
9465,F,22
4524,F,85
10615,M,64
2126,F,261
362,F,106
1201,M,140
559,F,15
3473,M,30
5854,F,30
6650,M,140
8768,M,19
2874,F,15
3776,F,54
4729,M,18
9071,F,5
