codigo_cliente,sexo_cliente,intervalo_medio
14429,F,248
7535,M,32
1535,M,59
1755,F,80
2905,M,92
3011,F,47
188,F,49
4161,M,9
5377,M,61
309,F,120
393,M,31
2427,F,51
2511,M,172
7565,F,124
14664,F,159
663,F,80
747,M,147
1649,M,320
5801,F,122
6860,F,248
860,F,38
10077,F,65
5293,F,75
7254,F,106
423,F,54
4699,F,37
3994,F,61
10191,F,3
6309,F,0
8625,M,62
13606,M,75
22154,F,161
1596,F,41
1680,M,19
5832,F,19
9754,F,19
10897,M,255
12931,F,353
18500,F,23
3911,F,141
7990,F,0
1990,F,69
3049,F,40
2344,F,19
3246,F,70
651,F,62
2612,F,68
7045,F,168
2104,F,82
1440,M,30
2301,F,210
3558,M,112
23284,F,22
1908,M,204
3030,F,26
4089,F,79
24915,F,2
207,F,37
1266,F,42
3227,F,73
6404,F,44
7660,F,288
10680,F,101
8916,F,76
3144,F,281
1160,M,93
26041,F,12
4597,F,27
7774,F,71
10089,F,32
18,M,31
238,F,92
4160,F,248
9235,M,235
14436,F,121
25143,F,39
1274,M,83
2396,F,110
6632,F,96
2644,M,79
13928,F,71
3849,F,193
6124,F,36
12164,F,49
2313,F,3
4211,M,56
6549,F,22
4628,F,68
7805,F,240
746,F,137
1805,F,13
2707,F,80
4719,M,11
23690,F,16
41,F,139
3857,M,55
12172,M,88
162,F,59
2207,M,133
4168,M,39
8320,F,174
20988,F,71
2320,F,39
3379,F,199
10832,F,235
2871,F,175
5030,M,113
8009,F,273
13147,F,30
2321,M,35
7532,F,354
8434,F,117
12513,F,0
1459,M,122
1532,F,281
5611,F,43
6670,F,120
7729,F,51
23417,F,7
670,F,294
10085,M,118
867,F,21
1065,M,9
3887,F,96
1292,F,23
7489,F,84
14588,F,124
587,F,32
1489,F,153
5725,F,106
7770,M,153
2745,F,280
5922,F,45
12119,F,37
981,F,54
3099,F,49
10198,F,175
17885,F,62
2465,F,14
6701,F,14
9721,F,84
1603,F,45
1687,M,99
3721,F,31
4707,M,72
8859,F,75
37,M,166
2859,F,34
1293,M,44
2726,F,83
5840,M,42
9080,F,47
3982,F,132
257,F,22
5132,M,22
5395,F,29
6454,F,63
17055,M,15
1513,F,63
24457,F,25
3679,M,291
6017,F,24
14175,F,123
15234,F,121
16136,F,67
17,F,29
1915,M,26
8332,F,9
4293,F,39
8529,F,70
16687,F,129
1521,M,164
7190,F,144
1190,F,48
6265,M,97
328,F,314
4301,M,161
1584,F,95
3702,F,60
7781,F,229
14880,F,65
2009,F,56
3068,F,36
3907,M,105
6245,F,51
20874,F,33
1304,F,87
3045,M,12
5320,M,236
1395,M,73
2454,M,101
8757,F,23
21425,F,146
5934,F,19
7789,M,81
2721,F,208
5668,M,158
7702,F,0
1041,M,60
5036,F,28
15900,F,128
4174,F,56
8096,F,294
15195,F,53
2410,F,51
3469,F,45
3667,M,78
7391,F,0
874,F,66
2919,M,60
3894,F,39
1155,M,89
1466,M,259
6249,F,119
1465,F,42
1663,M,43
3583,F,43
1974,M,45
5812,F,104
7773,F,24
210,M,8
323,F,107
2441,F,73
14364,F,28
6560,F,295
6601,M,78
9580,F,57
12600,F,165
43,F,178
127,M,200
8946,F,91
1299,F,16
3344,M,12
4403,M,244
6320,F,80
16439,F,29
20989,F,42
634,F,27
1693,F,71
2752,F,21
9694,F,97
9735,M,140
11655,F,358
23345,M,65
24206,F,39
1363,F,133
3261,M,96
4383,F,40
14345,F,116
658,F,65
3678,F,111
4580,F,19
5482,F,77
855,F,92
7797,F,101
3013,F,32
24624,F,44
2316,M,6
4497,F,76
1454,M,107
9455,M,24
107,F,299
7049,F,57
8108,F,149
12030,F,134
4611,F,281
5513,F,101
729,F,152
1568,M,147
1788,F,35
2847,F,67
9789,F,56
7868,F,87
25557,F,7
115,M,51
221,F,135
1280,F,252
2076,M,22
2182,F,157
3241,F,141
3446,M,87
4505,M,25
8427,M,88
19434,F,133
138,F,101
2099,F,69
6021,F,88
10896,M,49
1288,M,94
9238,F,53
10297,F,28
12258,F,18
540,M,61
4619,M,57
8457,F,69
18185,F,47
25284,F,2
3166,M,105
145,F,53
3165,F,154
10305,M,285
570,F,31
1713,M,26
3590,F,195
22378,F,55
23280,F,12
2023,F,331
5043,F,33
5945,F,58
1359,M,53
23831,F,69
2645,F,22
6651,M,49
11705,F,51
13666,F,31
881,F,101
1940,F,40
4960,F,111
5862,F,48
15006,M,58
15981,F,4
1078,F,87
571,M,178
2532,M,313
5197,F,46
1700,F,75
20,M,141
4015,F,52
5819,F,112
12016,F,23
13977,F,163
331,M,2
23705,F,17
6568,M,75
7470,M,179
996,M,70
4079,F,119
7099,F,108
3374,F,165
551,F,45
4630,F,95
13533,F,134
12828,F,141
15848,F,80
3291,F,140
5032,M,14
16273,F,105
2209,M,143
1921,F,5
5406,F,192
1838,F,167
3799,F,66
12702,F,230
3996,F,47
5851,M,4
11891,M,25
2460,F,48
9402,F,154
1378,M,143
4618,F,81
1795,F,54
31,F,0
1090,F,182
3051,F,139
5914,F,30
9887,M,101
1211,F,36
11173,F,52
506,F,282
3526,F,155
5414,M,158
6389,F,196
9409,F,46
10468,F,0
39,M,15
900,F,129
1098,M,48
1959,F,330
13882,F,108
17373,F,0
547,M,197
2581,F,96
2665,M,37
4626,M,33
1015,M,8
3837,F,95
22271,F,55
23330,F,12
8154,M,152
17685,M,0
380,F,27
1439,F,82
4459,F,278
4543,M,57
6347,M,196
931,F,34
1128,F,272
1326,M,35
5952,F,139
10031,F,24
12771,F,30
18223,F,237
1045,F,197
4106,M,13
183,F,41
6066,F,45
912,F,227
1751,M,50
2653,M,192
4834,F,135
11776,F,37
889,M,2
3070,F,53
6992,F,80
8051,F,117
10209,F,107
20693,M,241
601,F,5
20996,F,97
24016,F,48
5850,F,8
23539,F,74
2125,F,40
1420,F,53
3275,M,38
10217,M,197
13343,F,246
23827,M,85
1511,M,18
81,F,205
3940,M,76
7023,F,128
20633,F,108
6161,F,86
16751,F,14
2487,M,120
6252,M,183
19968,F,9
21224,F,100
4956,M,43
8039,F,112
10157,F,40
392,F,31
589,F,36
10551,F,110
12406,M,27
6669,F,89
7728,F,55
4084,F,8
1261,F,42
13184,F,86
7538,F,23
119,F,170
3223,M,2
5100,F,7
400,M,48
1375,F,283
13298,F,289
1572,F,33
7653,M,67
11534,F,260
13495,F,12
21065,F,63
6593,F,27
2194,F,174
3337,M,42
514,M,23
2475,M,137
12353,F,240
17962,F,55
5451,F,50
21179,F,81
1883,F,35
4903,F,38
6707,F,41
12945,M,46
3367,F,43
4269,F,202
6230,F,11
23762,F,1
544,F,39
2505,F,59
2589,M,85
5368,F,42
5452,M,97
8388,F,15
10506,F,92
17919,F,12
26348,M,65
11605,F,260
77,M,3
3958,F,82
5017,F,39
6821,F,39
20431,F,269
8389,M,58
14649,F,29
1644,M,132
8806,F,64
1002,F,8
3014,M,72
297,F,38
4270,M,16
8192,M,105
26017,F,65
5483,M,41
6605,F,3
2880,F,136
13901,F,288
411,F,47
3431,F,24
16884,F,110
3856,F,28
1033,F,35
5112,F,6
17703,F,124
2380,M,62
4447,F,16
6408,F,62
5774,F,28
19384,F,51
2206,F,24
2888,M,74
4167,F,37
8928,M,56
8991,F,8
179,M,65
1344,F,61
2403,F,27
9239,M,222
3659,F,43
5463,F,90
603,F,59
4682,F,174
800,F,187
2056,F,144
3156,M,14
2253,F,143
15549,F,95
24766,F,85
5855,F,302
5939,M,69
11077,M,31
914,F,48
2875,F,35
23427,F,56
1111,F,16
8367,F,20
11387,F,30
12446,F,230
3426,F,31
3467,M,217
15113,M,12
5264,F,12
1225,F,45
10442,F,74
520,F,99
20013,F,111
6083,F,2
1142,F,74
2128,M,26
3103,F,98
2398,F,340
3497,F,122
4556,F,44
6831,F,13
12010,M,190
12871,F,282
21029,F,145
5442,F,154
7403,F,88
501,F,41
2242,M,262
6698,F,61
592,M,78
2659,F,7
5927,M,32
9053,F,25
12124,M,132
21447,F,85
3281,F,93
2576,F,75
9832,F,20
17990,F,61
2773,F,83
