0;16863;15457;20545;20131;21892;16568;2698;19847;4617;5477;1419;19920;10306;17361;24924;34171;20197;11252;8521;17836;21810;7441;20203;19272;17831;18235;1256;37182;21784;33944;10551;3884;25563;14531;17664;22820;19776;28740;12152;18654;13882;25831;17340;26961;10475;24840;13532;23036;20878;3410;8296;14608;9826;21348;30605;20295;17618;22017;17739;9688;9913;24962;18076;13290
15558;0;2929;10896;3116;51454;8922;18245;16584;20848;19767;17075;30273;23791;9545;51797;12141;32017;15093;25291;7630;58598;16317;35117;5154;30177;16448;15244;22032;45079;14055;21525;16296;55125;28865;10018;59861;4066;55612;22205;14368;24856;36583;29160;53833;25388;51712;8190;49908;4106;17145;23209;20178;21307;11699;40936;35208;32532;55844;32652;26199;13497;12297;49155;23628
13446;2308;0;10761;5113;47585;7363;16133;19115;16978;15897;14963;26403;19921;8157;47927;12006;28147;12981;21421;7495;54728;12447;33005;5846;26307;17985;13132;27002;41209;14747;19414;14184;51255;26753;8460;55991;4758;51742;20093;15174;22744;34471;25290;49963;23276;47842;5777;46038;5859;15033;21097;18066;19195;11564;37066;33096;30420;51974;30541;22329;11084;14579;45285;19758
20452;10668;10614;0;8870;56512;3526;23139;10307;25906;24825;21969;35331;28849;3371;56855;2589;37075;12086;30349;4652;63656;21267;53644;7454;35235;12022;20138;13286;50137;9841;26420;21190;60183;55379;4425;64919;8515;60670;27099;5515;24329;48689;34218;58891;30283;56770;14906;54966;8908;22039;28104;11871;26201;1827;45994;40102;37426;41825;37547;31257;18303;7904;37884;28686
17180;4386;5364;9964;0;52433;9489;19867;18229;21826;20745;18697;31251;24769;8614;52775;9959;32995;16715;26269;5727;59576;17295;36739;2108;31155;18485;16866;11593;46058;11542;23147;17918;56103;30487;10586;60839;834;56590;23827;13437;26478;38205;30139;54811;27010;52690;10625;50886;1214;18767;24831;21800;22929;10767;41914;36830;34154;38553;34274;27177;15932;9784;34612;24606
22304;49796;48390;41432;53065;0;37456;21455;36444;24136;36609;22279;36241;39430;38249;2608;67104;24856;28205;21366;38723;8337;28553;16270;53926;22372;35786;22534;70115;26428;66877;20731;24623;5089;16594;38552;8691;52710;7122;22347;55441;23649;19394;22174;7731;13952;4863;46465;8455;53811;23844;16425;31561;21456;42235;43538;12807;8535;9859;12008;22008;43790;66937;9482;34113
16617;10368;7970;3278;8569;52969;0;19304;9696;22363;21281;18134;31788;25306;1676;53311;5650;33532;9237;26805;4352;60113;17723;27835;7154;31692;9559;16303;15471;46594;12026;22585;17355;56640;29924;1096;61376;8214;57127;15851;5304;25915;50835;30675;55348;26448;53226;11363;51423;8607;18204;24269;8699;22366;4888;42451;36268;33591;37990;33712;27714;14760;10089;34049;25142
3890;18466;17061;22755;21735;20061;18779;0;21904;4557;7080;1593;21523;11909;19572;20403;35774;21800;13706;6944;20046;21933;9044;20967;22596;10030;20292;4735;38785;17170;35547;12609;5947;23732;15295;19875;22969;21380;24219;14209;20864;15939;26595;10011;22440;11238;20319;15135;18515;22481;5167;9059;16665;11889;23558;32208;21058;18382;22781;18503;8112;11516;35607;15278;14893
19741;19837;18431;10098;17224;42071;9444;22631;0;28339;27258;21461;37764;31282;11725;42413;12482;39508;9718;32782;13006;80463;21917;18872;15808;37668;2136;19427;24126;43953;20681;17378;16874;45742;21057;8754;81726;16869;46229;11413;4884;14444;19441;36651;44450;24660;42328;17339;40525;17261;18318;27595;4450;17742;10364;48427;23406;26764;26241;20291;33690;20736;18743;37376;31119
3937;17536;16131;24290;20805;22745;21296;5032;27121;0;2819;3614;15061;8355;22910;23087;34844;16824;16456;7216;23385;18600;8300;23603;21666;9018;23159;4510;37855;17281;34617;14458;7849;26415;17931;22392;19610;20450;26903;16058;23181;17788;29231;8449;25124;13874;23002;14345;21198;21551;7351;11695;21541;14239;37837;25746;23694;21139;25417;21138;6601;11530;34677;15734;7769
