CODIGO_CLIENTE,ID_COMPRA,SEXO_CLIENTE,QTD_ITENS
3344,1466765,M,22
16601,1182577,M,25
2533,987462,M,4
10436,1061875,F,50
2850,1187248,M,31
4534,895232,F,11
3264,1117653,F,52
4174,1845326,F,13
8928,1246897,M,15
2023,1870370,F,6
5417,1724250,F,33
6650,767658,M,8
14746,933396,F,1
5253,1912899,M,4
23185,1352125,F,7
22020,1210387,F,24
1608,1260179,F,1
524,1826694,M,1
4055,965768,F,1
414,1334379,M,8
137,1922383,M,1
514,1584894,M,9
6726,1561174,M,14
4168,1189234,M,1
651,863184,F,1
24615,1719873,F,56
3191,1165499,M,5
12117,931174,F,13
2427,1000015,F,9
2649,1191633,F,40
9665,1465073,F,3
2039,848390,F,11
2515,1757471,M,5
4088,799655,F,3
2712,1175523,F,24
423,1362217,F,5
9738,1524951,F,153
559,1031731,F,0
173,781892,F,4
993,767994,M,16
17480,1865919,F,4
4513,1805938,M,28
1339,1893036,M,23
6001,1185097,F,1
7950,1859206,F,2
3984,1753145,M,16
470,1233510,F,9
2955,1918493,F,5
6950,1564460,F,4
3984,1630987,M,2
2345,1572550,M,3
24217,1858864,F,1
14151,846901,F,8
2895,849875,M,68
7770,907588,M,11
2367,1133522,M,2
20989,1704637,F,9
1848,1718927,F,1
3218,1498064,F,6
7262,912185,F,6
1454,1155079,M,28
3996,1613040,F,3
1051,1879062,F,0
1764,1768559,M,10
20693,1562518,M,2
22148,1033149,F,50
3103,1890043,F,37
2146,815527,M,7
4568,1565726,M,4
5032,1842046,M,42
7403,1050162,F,3
1290,1460021,F,2
18141,1855526,F,79
6992,1558297,F,12
13243,932840,F,4
7673,798387,F,6
6366,1931226,F,22
6013,1528487,M,223
18,1217818,M,24
1432,1177448,F,21
15445,1809908,F,20
1814,1753090,M,81
2857,1682166,F,2
13772,1155153,F,34
4690,1173206,F,7
1040,1109313,M,16
1839,1639049,F,2
6673,1350009,F,135
1293,1155085,M,8
257,1595224,F,3
3394,1208732,M,36
1232,1273066,M,1
1721,1751090,F,1
11072,778947,F,0
2939,1157493,M,17
1254,783828,M,1
375,1266763,M,96
3659,794268,F,15
5099,1586786,M,9
506,794100,F,2
4631,1830848,M,6
3191,1497672,M,15
11229,991372,F,28
9789,948454,F,17
2487,1925287,M,9
574,1376886,F,49
6603,980876,M,2
2255,1117463,M,34
138,1256198,F,4
2428,924238,F,32
5583,1763254,F,36
23539,1672950,F,15
5435,1364151,F,7
20627,1722993,F,162
1931,983098,F,1
5611,1174190,F,3
6882,1139470,F,10
5835,921045,F,39
11219,1619271,F,11
10209,1417643,F,18
3150,1768535,F,4
2344,1859049,F,74
80,1246955,F,24
12368,1169603,F,2
1101,1413928,F,11
6054,1074678,M,58
3478,1295008,F,39
4702,1931171,F,7
11063,1909465,F,3
4019,1011816,F,9
822,1274681,F,4
3462,936629,M,16
11173,1328847,F,5
1609,1033089,F,2
4630,1744509,F,48
6593,1045532,F,4
1153,1691787,F,44
909,1423584,F,37
5435,1343919,F,25
16195,1768022,M,36
5377,781951,M,21
6309,1034866,F,6
1987,1926289,M,5
1371,1357029,F,19
16073,1584814,F,7
3999,1230535,F,24
4476,846889,F,2
2712,1615041,F,23
3166,1609743,M,17
3099,1671892,F,9
1290,1315905,F,2
6672,1656903,F,10
6586,1927285,F,7
1619,804423,F,9
2475,818727,M,17
670,1820202,F,22
516,984427,M,1
3836,1725006,F,49
8039,1349934,F,126
22369,1700248,F,13
4085,1117459,F,18
1656,999139,F,5
7,794231,F,2
4325,954943,F,2
1210,999981,F,8
1743,1920085,M,3
1489,1137063,F,6
8825,1581142,M,40
7988,1142417,F,19
6214,1637193,F,34
1904,1007332,F,3
2255,1049291,M,16
2851,1362687,F,35
8120,1625965,F,22
10051,866587,M,39
11524,1735982,F,174
2597,880921,M,5
11589,1758271,M,13
4012,868867,M,11
5416,1152209,F,6
2229,1289050,F,27
3776,1779441,F,40
342,1761833,M,10
22962,1225027,F,5
5488,1562599,M,6
1788,1768020,F,156
507,1568875,F,1
6064,1592108,F,8
8086,1638624,F,5
1835,1069205,F,83
13451,1824255,F,99
7,1833656,F,338
10990,810007,M,18
1732,1906692,F,98
23500,1640399,F,27
17335,1821724,F,7
3559,790728,F,2
13495,828466,F,4
9000,774362,F,2
4799,1345107,F,18
4699,1590735,F,0
5958,1518290,M,69
5757,1844688,M,6
489,776787,M,2
5593,1512515,F,1
4112,1534483,F,2
3457,1596312,M,9
6756,1595906,M,131
3453,1492008,M,58
2126,832436,F,6
7261,981550,F,4
1378,832952,M,12
5135,1005897,M,6
5385,1705846,M,3
1417,1109137,F,10
231,1090881,M,3
9499,937162,F,17
3100,1111960,F,3
8806,1267685,F,38
8367,1321592,F,21
2424,1111988,M,46
11626,1592068,F,4
5297,1828204,F,6
1456,1235811,F,2
2533,1773875,M,1
2213,1688700,M,5
17472,1718949,F,2
1990,1061890,F,5
9404,1650249,F,76
2538,1210352,M,4
14275,1677629,F,37
12577,1834021,F,5
3044,1236364,M,4
2925,1554348,M,14
3491,1773029,F,0
6161,1411055,F,5
578,1526689,F,24
1087,1696265,M,2
5533,924674,F,35
10795,929250,F,9
181,1757456,F,16
10433,1216645,F,82
2663,1680845,M,8
5377,1534656,M,103
4524,1877419,F,8
3125,1618897,F,118
186,791377,F,0
11525,1781341,F,8
1293,945061,M,6
25220,1763283,F,33
5887,1024332,M,32
1029,874381,F,5
27503,1893144,F,1
3121,1700085,F,4
6849,825226,F,67
5790,1512534,F,3
2558,1217382,F,3
4851,1222217,F,2
172,1367861,F,83
26348,1700247,M,3
6934,1057969,M,1
12467,1109269,F,46
19384,1850610,F,41
21041,1602222,F,49
18506,773039,F,2
1225,1749552,F,2
4556,1154449,F,3
6102,1070471,M,50
8859,1577138,F,19
358,1469740,F,4
3141,1208709,F,3
1395,990612,M,14
6950,1514928,F,3
6949,815892,M,8
1853,1581510,M,5
2098,1868950,F,40
6615,1602186,F,18
2581,781657,F,1
220,1630980,M,36
2365,1776187,M,85
115,1744389,M,16
3721,1198524,F,1
751,1267798,F,33
1680,1398095,M,10
1133,1195766,F,1
524,1667768,M,17
18122,905521,F,3
2264,1770591,M,6
1102,1548275,F,10
2909,1488792,M,12
5715,936451,F,4
7856,902204,F,8
561,823993,F,1
2909,1408709,M,9
4389,947277,F,36
25393,1637233,F,36
1073,1307125,F,7
14185,1225295,F,31
1290,1396337,F,2
578,1261314,F,25
2437,1285331,F,19
16533,1256152,F,6
5021,977186,F,34
4572,1802229,F,7
1152,1256328,F,4
2752,1173271,F,32
21179,1146198,F,7
16064,1794168,F,54
15362,1033353,F,94
5043,1798558,F,18
5798,1588162,F,1
3207,1576899,F,12
23259,1528507,F,6
6214,1736214,F,35
12356,834076,F,13
587,915201,F,3
13066,1893095,F,3
4613,1357401,F,15
8370,1139530,F,168
23567,1651496,F,15
3859,1155142,M,11
4577,1035181,F,12
1322,1680677,M,29
11822,1294984,F,6
2574,1619585,M,2
5149,1855569,F,11
7716,1354772,F,5
194,887982,F,56
2332,1793859,M,72
20174,1736181,F,4
1724,969254,F,26
13517,1167816,F,109
17685,1557680,M,1
3581,948443,F,97
7042,1672533,M,4
2264,1859038,M,14
2856,1722983,M,39
2758,1074373,M,12
1150,1576839,M,29
277,1676515,M,1
2945,1210348,F,28
1449,1050070,F,2
5782,1554358,F,14
2396,1850296,F,1
8755,1123953,F,13
6345,945237,F,2
5212,1188791,F,3
349,1305773,F,5
2987,1641821,M,9
3247,1109636,F,20
9693,1324083,F,5
3271,1513654,M,36
2437,1715838,F,118
25062,1779684,F,4
3799,1023806,F,17
4262,936589,M,13
4850,825304,M,15
1652,1062438,M,23
4714,1878924,F,2
3204,1550081,F,19
9253,1728997,F,7
1473,1111961,F,3
2762,1619826,F,5
14345,1567045,F,1
5341,852016,M,2
2703,1165358,F,36
11264,944908,F,1
4622,972280,F,1
6701,811636,F,1
5238,770704,F,43
8348,1584477,M,1
6118,1225367,F,10
8298,1853280,F,2
8806,1623047,F,4
6122,1089070,F,13
829,1006548,F,17
127,1672529,M,23
3460,987590,F,17
30,997548,M,0
4000,1195877,F,13
3083,1842244,F,149
3684,1757762,F,9
543,874166,F,18
3660,773035,F,1
1656,778693,F,9
13456,912497,F,4
9088,1896826,F,5
828,1896771,M,63
1623,1087692,M,1
524,837130,M,18
23417,1833576,F,13
2569,1544594,M,24
5677,882771,F,10
6462,1266873,F,29
2283,990583,F,8
3166,954963,M,37
1603,1235825,F,26
17808,1549500,M,2
545,785678,F,71
1260,1527372,M,3
4153,1192122,F,4
4382,1139497,F,166
6583,1236913,M,1
592,1809387,M,98
8946,1140788,F,2
7726,1336484,F,32
2407,886050,M,24
11222,1820421,F,17
2403,1609947,F,3
23913,1875003,F,19
14138,1023781,F,18
10357,1612356,F,2
7176,864920,F,11
23736,1737636,M,2
269,1410961,F,10
81,1744601,F,11
19968,1191956,F,46
4901,1392599,M,19
17451,1109610,F,18
239,900774,F,17
420,1554573,F,6
16201,1782254,F,9
18963,900650,F,36
7999,1834327,F,2
3191,1285696,M,16
8928,1011638,M,5
2126,1656885,F,4
28315,1918999,F,22
2426,1893151,F,12
6299,1315570,F,3
11123,1754325,F,5
14467,790067,F,13
18766,1334893,M,42
5309,1789873,M,16
2794,1268776,M,13
4804,1054348,F,14
4016,790873,F,2
11346,974078,F,13
9036,934317,F,1
21862,1287620,M,4
23673,1890060,F,5
1809,1050027,F,1
8790,1154803,F,13
1372,1347204,M,37
186,958444,F,3
6934,1020757,M,3
2344,1780191,F,3
2888,874363,M,4
4283,1882924,M,28
3835,1090904,F,121
5806,1667769,F,21
16693,1768029,F,125
9665,1372066,F,9
27547,1805875,F,2
1802,1460911,F,13
4571,791685,F,2
1381,1789808,F,3
1381,1066246,F,4
17338,1301206,F,13
11404,1279055,M,14
4766,1386008,F,81
2515,1738284,M,2
14207,1818122,F,1
4365,1249158,F,2
3292,991823,M,2
9520,1036067,F,138
975,1557349,M,41
1152,1399442,F,2
7789,1859122,M,22
5141,902507,M,0
17873,1848511,F,29
2982,1043204,F,13
20633,1085536,F,12
3241,1632764,F,28
22507,1135533,F,11
63,1540386,F,5
216,1250548,F,48
3054,762003,F,0
444,1598254,F,76
881,1041316,F,17
1108,825211,M,7
3325,875249,F,50
1339,1664827,M,0
1160,1639042,M,20
7583,1871063,M,11
3345,945367,M,25
6843,1629950,F,3
550,1805924,F,6
9887,1066643,M,65
1172,1736239,F,151
1455,1038228,M,4
11413,907501,M,3
1290,1439752,F,2
6599,1909469,F,5
8187,1796847,F,6
1917,810417,F,17
990,1705616,M,2
3922,968552,M,5
3499,949013,F,15
1225,1694447,F,4
7981,1445031,F,8
580,889595,F,15
244,1789835,F,16
1841,1244880,F,4
2808,1282223,F,3
4514,1789792,M,16
1755,1139964,F,69
1455,1909530,M,1
5483,1028611,M,17
2875,1217484,F,6
2420,760131,M,16
8182,1177455,M,10
699,1551124,F,41
5953,1820762,M,17
11697,1028991,F,15
2507,1337569,M,8
1897,1669658,M,13
9508,1867749,F,2
19921,1151730,F,7
17,1721239,F,7
9039,1332055,M,12
8457,1749975,F,1
1087,1642926,M,8
23913,1793927,F,12
10439,1528755,F,12
2723,1187420,F,110
15245,1585046,F,41
743,1298421,M,23
981,933621,F,3
3070,1017089,F,24
8744,1063975,F,31
15558,1250223,F,9
6954,1191200,M,15
25703,1873781,F,5
961,845263,M,7
8946,1513482,F,2
7640,1552115,M,17
1621,1069036,M,11
2898,856968,M,15
5844,1241845,F,50
6034,1210360,M,17
26062,1661005,F,79
22474,1384143,F,5
733,1058031,M,44
2316,1080417,M,6
10420,1622983,F,54
11719,1213107,M,3
3866,1122042,M,4
8167,1282617,F,4
4803,1629909,F,13
10317,1925285,F,135
1209,1612724,M,4
7403,1887684,F,4
6092,1554394,F,56
2911,1204955,M,39
2827,1038199,F,19
18547,1187082,F,44
6077,1692301,F,33
2752,1436485,F,68
8142,1794192,F,122
6760,1393111,F,4
4069,1337112,M,23
2612,1271064,F,17
9411,980881,F,2
3030,1036072,F,2
10450,1151618,F,135
4095,1285164,F,1
3189,1907074,F,36
8801,1256256,F,2
17983,1331170,F,18
3455,895654,M,15
4567,1321601,M,11
12044,948421,F,13
1414,857481,F,6
7831,969182,F,6
3055,1220062,F,11
3922,1136057,M,8
1952,1424600,M,6
2215,810055,M,1
4980,1097728,F,3
15113,1457782,M,2
9544,1918460,M,1
336,1855301,F,10
6747,994847,F,5
6748,898157,F,2
4855,1678337,F,2
7640,1135056,M,16
8392,1879204,F,2
2847,1033562,F,42
4021,1239013,F,31
3426,1789147,F,8
20548,1005946,F,2
4016,1252953,F,2
415,1708191,F,11
8625,1672426,M,34
3045,1565736,M,8
3988,954771,F,2
7376,1291104,F,132
156,1871139,F,6
4161,1329761,M,0
2332,1245161,M,151
3644,770665,M,1
6056,832721,F,4
5521,1017178,F,174
6493,1053980,F,1
4529,1691324,M,2
2255,1833846,M,43
62,1528749,F,132
3565,1848872,F,8
390,785672,M,2
17373,950785,F,17
4707,1802311,M,9
22765,1167538,F,30
1517,1918461,F,8
6769,900967,M,7
7981,1329477,F,13
7049,1248833,F,171
7129,1877225,F,259
4816,905965,F,43
8388,1195308,F,7
3055,1615421,F,5
3542,1632639,F,4
11655,1912223,F,38
1534,1074275,M,19
5887,1090758,M,12
2109,1236987,F,23
658,1300104,F,222
13016,1874520,M,53
7306,958583,F,9
2367,1685689,M,2
5363,810051,F,3
2692,1711669,M,7
3374,1726155,F,23
3044,1777731,M,6
2379,1686351,M,24
2686,1912768,F,0
3132,1152382,M,13
5970,1030706,F,3
2476,1282700,M,3
7807,916913,F,6
1041,1763241,M,3
2711,1155184,F,16
22440,1220274,F,11
6611,776822,F,143
14334,1544527,F,11
17338,1430351,F,7
6876,931185,F,4
3478,1750765,F,1
433,1779692,F,9
8743,832502,F,35
15895,1411231,F,20
12030,954999,F,15
5887,831772,M,4
2540,1736165,F,4
15309,1434159,M,220
3995,1820388,M,3
12780,960509,F,12
1500,1110277,F,30
9011,1109450,F,52
1473,1211291,F,1
15848,916708,F,1
1584,1366295,F,56
13834,1627544,F,40
3631,840940,F,19
1707,1135463,F,13
2801,1550617,M,11
15315,1833551,F,7
5082,1827965,F,5
13533,1605157,F,32
7570,1631925,F,37
3571,1088151,M,10
3327,1037171,F,8
713,1583330,M,14
1328,1440407,M,42
257,1265902,F,23
44,1724526,F,6
5915,1155080,F,13
3859,1217489,M,7
2500,933968,M,35
2686,1147643,F,2
7403,1558253,F,78
2538,785693,M,2
8991,1163251,F,13
3045,1794469,M,20
2799,1035078,F,64
1172,1611857,F,8
192,1782303,F,4
3848,855909,M,38
1603,1122091,F,70
9693,1403951,F,2
17544,823840,F,47
4935,1583711,F,2
3996,1915850,F,7
4069,1338463,M,2
8755,1016511,F,27
3761,1819456,M,1
1160,1127539,M,6
5902,799662,M,16
2711,1222323,F,17
13675,1337216,F,2
9754,1721328,F,7
22562,1102850,F,2
